date,sentiment_corporate,sentiment_energy,sentiment_forex,sentiment_macro,news_count
2010-04-18,-0.3617,-0.0263,0.0118,0.0,0
2010-04-19,-0.2532,-0.0184,-0.0252,0.0,1
2010-04-20,-0.1772,-0.0129,-0.0202,0.0,0
2010-04-21,-0.1241,-0.009,-0.0161,0.0,0
2010-04-22,-0.0868,-0.0063,-0.0129,0.0,0
2010-04-23,-0.0608,-0.0044,-0.0103,0.0,0
2010-04-24,-0.0426,-0.0031,0.7869,0.0,1
2010-04-25,-0.0298,-0.0022,0.6295,0.0,0
2010-04-26,-0.0209,-0.0015,0.5036,0.0,0
2010-04-27,-0.0146,-0.0011,0.4029,0.0,0
2010-04-28,-0.0102,-0.5087,0.3223,0.0,1
2010-04-29,0.7206,-0.0506,0.2579,0.0,5
2010-04-30,0.5044,0.8154,0.2063,0.0,1
2010-05-01,0.3531,-0.3948,0.165,0.6679,3
2010-05-02,0.2472,0.3036,0.132,0.5677,2
2010-05-03,-0.4863,0.2125,0.1305,0.4826,3
2010-05-04,-0.3404,0.1487,0.1044,0.4102,0
2010-05-05,-0.2383,0.1041,0.2017,0.3486,1
2010-05-06,-0.1668,0.0151,0.1614,0.2964,1
2010-05-07,-0.1168,-0.0055,0.1291,0.2519,1
2010-05-08,-0.0817,-0.0038,0.1033,0.2141,0
2010-05-09,-0.0572,-0.0027,0.0826,0.182,0
2010-05-10,-0.3513,-0.0019,0.1629,0.1547,2
2010-05-11,-0.2459,-0.0013,-0.9441,0.1315,1
2010-05-12,-0.1721,-0.0009,-0.7553,0.1118,0
2010-05-13,0.0498,0.0357,-0.6042,0.095,2
2010-05-14,0.0349,0.025,-0.4834,0.0808,0
2010-05-15,0.0244,0.0175,0.8285,0.0686,1
2010-05-16,0.0171,0.0122,0.6628,0.0583,0
2010-05-17,-0.3368,0.0086,0.6973,0.0496,3
2010-05-18,-0.2358,0.006,0.1206,0.0422,1
2010-05-19,-0.0145,-0.5887,0.0979,0.0358,3
2010-05-20,-0.0102,-0.4121,0.043,0.0305,1
2010-05-21,-0.0071,-0.2885,0.0344,0.0259,0
2010-05-22,-0.005,0.0961,0.0275,0.022,1
2010-05-23,-0.0035,0.0673,0.022,0.0187,0
2010-05-24,-0.0024,0.0471,-0.7887,0.0159,1
2010-05-25,-0.0017,0.033,-0.9477,-0.008,2
2010-05-26,-0.6349,0.0231,-0.2687,-0.0068,2
2010-05-27,-0.4444,0.0162,0.3026,-0.0058,1
2010-05-28,-0.3111,0.0113,0.8594,-0.0049,1
2010-05-29,0.4071,0.0079,-0.5888,-0.0042,2
2010-05-30,0.285,0.0055,-0.471,-0.0035,0
2010-05-31,-0.3834,0.0039,-0.9563,-0.003,2
2010-06-01,-0.2684,0.0027,-0.765,-0.0026,0
2010-06-02,-0.1879,0.0019,-0.1615,-0.8647,2
2010-06-03,-0.1315,0.0013,-0.1292,0.3387,3
2010-06-04,-0.0921,-0.1432,0.0642,0.2879,3
2010-06-05,0.878,-0.9057,-0.5108,0.2447,3
2010-06-06,0.6146,-0.634,-0.4086,0.208,0
2010-06-07,0.7872,-0.4438,-0.9511,0.1768,2
2010-06-08,-0.005,0.7859,-0.7609,0.1503,2
2010-06-09,-0.0035,0.1659,0.5699,0.1278,2
2010-06-10,0.1465,0.1161,0.4559,0.1086,2
2010-06-11,-0.9374,0.0813,0.3647,0.0923,1
2010-06-12,-0.6562,0.0569,0.2918,0.0785,0
2010-06-13,0.0333,0.0398,0.2334,0.0667,1
2010-06-14,-0.7025,0.0279,0.1867,0.0567,1
2010-06-15,-0.951,0.0195,0.1494,0.0482,1
2010-06-16,-0.0184,0.0137,0.1195,0.041,1
2010-06-17,-0.0129,0.0096,-0.8691,0.0348,1
2010-06-18,-0.322,0.0067,0.0464,0.0296,2
2010-06-19,-0.4813,0.0047,0.7791,0.0252,3
2010-06-20,0.0384,0.0033,0.6233,0.0214,1
2010-06-21,-0.0382,0.0023,0.4986,0.0182,1
2010-06-22,0.0514,-0.3851,0.3989,0.0154,2
