date,sentiment_corporate,has_corporate,sentiment_energy,has_energy,sentiment_forex,has_forex,sentiment_macro,has_macro,news_count
2010-05-02,0.0,0.0,0.4751,1.0,0.0,0.0,0.0,0.0,1
2010-05-04,0.0,0.0,-0.0098,1.0,0.0,0.0,0.0,0.0,1
2010-05-06,0.0,0.0,0.0151,1.0,0.0,0.0,0.0,0.0,1
2010-05-07,0.0,0.0,-0.42669999999999997,1.0,0.0,0.0,0.0,0.0,2
2010-05-08,0.0,0.0,-0.25234999999999996,1.0,0.0,0.0,0.0,0.0,2
2010-05-09,0.0,0.0,-0.07250000000000001,1.0,0.0,0.0,0.0,0.0,3
2010-05-10,0.0,0.0,-0.0102,1.0,0.0,0.0,0.0,0.0,1
2010-05-13,0.0,0.0,0.042749999999999996,1.0,0.0,0.0,0.0,0.0,2
2010-05-19,0.0,0.0,-0.3016,1.0,0.0,0.0,0.0,0.0,2
2010-05-21,0.0,0.0,0.09200000000000001,1.0,0.0,0.0,0.0,0.0,3
2010-05-22,0.0,0.0,0.0961,1.0,0.0,0.0,0.0,0.0,1
2010-05-30,0.0,0.0,0.6582,1.0,0.0,0.0,0.0,0.0,1
2010-06-03,0.0,0.0,0.0989,1.0,0.0,0.0,0.0,0.0,1
2010-06-04,0.0,0.0,-0.1432,1.0,0.0,0.0,0.0,0.0,2
2010-06-05,0.0,0.0,-0.9057,1.0,0.0,0.0,0.0,0.0,1
2010-06-07,0.0,0.0,0.2373,1.0,0.0,0.0,0.0,0.0,1
2010-06-08,0.0,0.0,0.7859,1.0,0.0,0.0,0.0,0.0,1
2010-06-09,0.0,0.0,0.1659,1.0,0.0,0.0,0.0,0.0,1
2010-06-10,0.0,0.0,0.0129,1.0,0.0,0.0,0.0,0.0,1
2010-06-13,0.0,0.0,0.0333,1.0,0.0,0.0,0.0,0.0,1
2010-06-14,0.0,0.0,0.3966,1.0,0.0,0.0,0.0,0.0,1
2010-06-17,0.0,0.0,-0.8285,1.0,0.0,0.0,0.0,0.0,1
2010-06-18,0.0,0.0,0.7103,1.0,0.0,0.0,0.0,0.0,1
2010-06-19,0.0,0.0,0.15895,1.0,0.0,0.0,0.0,0.0,2
2010-06-22,0.0,0.0,-0.1799,1.0,0.0,0.0,0.0,0.0,2
2010-06-23,0.0,0.0,0.0304,1.0,0.0,0.0,0.0,0.0,1
2010-06-24,0.0,0.0,0.487,1.0,0.0,0.0,0.0,0.0,2
2010-06-26,0.0,0.0,-0.0034,1.0,0.0,0.0,0.0,0.0,1
2010-06-28,0.0,0.0,0.9266,1.0,0.0,0.0,0.0,0.0,1
2010-06-29,0.0,0.0,0.0239,1.0,0.0,0.0,0.0,0.0,1
2010-07-09,0.0,0.0,-0.0042,1.0,0.0,0.0,0.0,0.0,1
2010-07-10,0.0,0.0,0.3992,1.0,0.0,0.0,0.0,0.0,3
2010-07-13,0.0,0.0,0.539,1.0,0.0,0.0,0.0,0.0,1
2010-07-16,0.0,0.0,0.7751,1.0,0.0,0.0,0.0,0.0,1
2010-07-18,0.0,0.0,0.7304,1.0,0.0,0.0,0.0,0.0,1
2010-07-19,0.0,0.0,-0.074,1.0,0.0,0.0,0.0,0.0,1
2010-07-20,0.0,0.0,0.63625,1.0,0.0,0.0,0.0,0.0,2
2010-07-26,0.0,0.0,-0.0115,1.0,0.0,0.0,0.0,0.0,1
2010-07-28,0.0,0.0,-0.33176666666666665,1.0,0.0,0.0,0.0,0.0,3
2010-07-29,0.0,0.0,-0.6441,1.0,0.0,0.0,0.0,0.0,1
2010-07-31,0.0,0.0,0.7202500000000001,1.0,0.0,0.0,0.0,0.0,2
2010-08-01,0.0,0.0,-0.9027,1.0,0.0,0.0,0.0,0.0,1
2010-08-03,0.0,0.0,-0.0966,1.0,0.0,0.0,0.0,0.0,1
2010-08-06,0.0,0.0,-0.1041,1.0,0.0,0.0,0.0,0.0,1
2010-08-07,0.0,0.0,0.0569,1.0,0.0,0.0,0.0,0.0,1
2010-08-08,0.0,0.0,0.056,1.0,0.0,0.0,0.0,0.0,1
2010-08-09,0.0,0.0,-0.9435,1.0,0.0,0.0,0.0,0.0,1
2010-08-10,0.0,0.0,0.12896666666666667,1.0,0.0,0.0,0.0,0.0,3
2010-08-12,0.0,0.0,0.2351,1.0,0.0,0.0,0.0,0.0,2
2010-08-13,0.0,0.0,0.17626666666666665,1.0,0.0,0.0,0.0,0.0,3
2010-08-14,0.0,0.0,-0.004799999999999999,1.0,0.0,0.0,0.0,0.0,3
2010-08-15,0.0,0.0,0.2419,1.0,0.0,0.0,0.0,0.0,1
2010-08-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.3085,1.0,1
2010-08-17,0.0,0.0,0.16705,1.0,0.0,0.0,0.0,0.0,2
2010-08-18,0.0,0.0,-0.5239,1.0,0.0,0.0,0.0,0.0,2
2010-08-19,0.0,0.0,-0.2404,1.0,0.0,0.0,0.0,0.0,2
2010-08-21,0.0,0.0,-0.1229,1.0,0.0,0.0,0.0,0.0,1
2010-08-23,0.0,0.0,0.0322,1.0,0.0,0.0,0.0,0.0,1
2010-08-25,0.0,0.0,0.2032,1.0,0.0,0.0,-0.1112,1.0,2
2010-08-26,0.0,0.0,-0.10486666666666666,1.0,0.0,0.0,0.0,0.0,3
2010-08-27,0.003,1.0,0.046725,1.0,0.0,0.0,0.380475,1.0,9
2010-08-29,0.0,0.0,-0.929,1.0,0.0,0.0,0.0,0.0,1
2010-08-31,0.0,0.0,-0.6799,1.0,0.0,0.0,0.0,0.0,1
2010-09-03,0.0,0.0,-0.8575,1.0,0.0,0.0,0.0,0.0,1
